id,wp_status,title,link,fave_property_status,fave_property_price,fave_property_type,missing_metas,invalid_status_slug,ok_for_listing
48357,publish,Piso en venta en Calle Martínez Falero s/n,https://www.inmo4you.com/property/piso-en-venta-en-calle-martinez-falero-s-n/,en-venta,380000,Piso,,False,True
48344,publish,"Casa o chalet independiente en venta en Calle Baja, 5",https://www.inmo4you.com/property/casa-o-chalet-independiente-en-venta-en-calle-baja-5/,en-venta,870000,Casa,,False,True
48325,publish,Alquiler de piso en Calle Cortina del Muelle,https://www.inmo4you.com/property/alquiler-de-piso-en-calle-cortina-del-muelle-2/,en-venta,4200,Piso,,False,True
48315,publish,Estudio en venta en Centro Histórico,https://www.inmo4you.com/property/estudio-en-venta-en-centro-historico/,en-venta,295000,Estudio,,False,True
48305,publish,Ático en venta en La Cala del Moral,https://www.inmo4you.com/property/atico-en-venta-en-la-cala-del-moral/,en-venta,442000,Ático,,False,True
48292,publish,Piso en venta en El Palo,https://www.inmo4you.com/property/piso-en-venta-en-el-palo/,en-venta,549000,Piso,,False,True
48278,publish,Casa o chalet independiente en venta en El Palo,https://www.inmo4you.com/property/casa-o-chalet-independiente-en-venta-en-el-palo-3/,en-venta,465000,Casa,,False,True
48261,publish,Casa o chalet independiente en venta en Pinares de San Antón,https://www.inmo4you.com/property/casa-o-chalet-independiente-en-venta-en-pinares-de-san-anton/,en-venta,850000,Casa,,False,True
48241,publish,Casa o chalet independiente en venta en Avenida Juan Sebastián Elcano,https://www.inmo4you.com/property/casa-o-chalet-independiente-en-venta-en-avenida-juan-sebastian-elcano/,en-venta,915000,Casa,,False,True
48225,publish,"Chalet adosado en venta en Calle Arquitecto Alonso Carbonell, 4",https://www.inmo4you.com/property/chalet-adosado-en-venta-en-calle-arquitecto-alonso-carbonell-4/,en-venta,750000,Chalet,,False,True
